idx1 idx2 t_1 t_2 t_3 q_1 q_2 q_3 q_4
46 2458 10.930477 -0.387105 0.190228 1.000000 0.000224 -0.000178 0.000500
595 1365 11.638062 -0.003677 0.161116 0.999990 0.000091 0.000975 -0.004311
2 2410 9.063088 5.931849 0.056696 0.856854 0.000577 -0.013001 -0.515396
4 2341 7.009673 7.985430 -0.080935 0.783079 0.001692 -0.013876 -0.621765
2375 2429 8.969854 7.416800 -0.107971 0.852935 0.004298 0.015366 0.521773
2293 2351 11.729309 0.230445 0.354485 0.997481 -0.004150 -0.008030 0.070357
583 1353 11.115738 0.090118 0.220039 0.999994 -0.002535 -0.001533 -0.001922
830 2600 11.719559 -0.119589 0.154411 0.999859 -0.003750 0.003380 0.016035
26 2320 -8.109637 8.640959 -0.295773 0.764308 0.003391 -0.018144 -0.644587
740 1474 -11.037233 -0.149185 -0.254165 0.999962 0.006441 -0.005479 -0.001906
768 1540 11.390347 -1.300934 0.234076 0.999723 0.019019 -0.008440 -0.011038
151 2525 -7.463539 7.927719 0.062478 0.728667 0.003653 0.006378 0.684828
567 1306 -11.869354 1.277496 -0.058118 0.994286 0.000474 -0.002311 0.106721
25 2341 -7.056343 7.884687 -0.272478 0.774447 0.004920 -0.018682 -0.632344
28 2409 -8.936109 6.008063 -0.113041 0.839843 -0.003807 -0.013582 -0.542645
27 2409 -8.037800 6.040030 -0.158481 0.839189 -0.003048 -0.016088 -0.543593
1 2373 8.645017 8.034608 0.013669 0.784834 0.004388 -0.014580 -0.619519
5 2398 6.511267 7.879756 -0.120646 0.785473 -0.002306 -0.015722 -0.618692
596 1342 -10.873856 0.055817 -0.188905 0.999988 0.001905 -0.002433 -0.003787
797 1571 9.582977 4.815552 0.224840 0.974631 0.003457 0.000900 0.223791
32 2416 -11.006695 3.940557 -0.015941 0.912925 -0.008536 -0.000606 -0.408038
0 2404 9.471730 7.325494 0.084684 0.807809 -0.001500 -0.017677 -0.589177
584 1329 -11.444717 0.008789 -0.164395 0.999966 0.001582 -0.003865 0.007061
740 1496 10.920846 0.226654 0.234267 0.999967 -0.005746 -0.000680 0.005708
4 2383 7.017953 8.010712 -0.080797 0.783000 0.001829 -0.013840 -0.621866
24 2361 -6.216127 7.887498 -0.315178 0.775547 0.005684 -0.020832 -0.630921
726 1481 10.035297 0.057175 0.133339 0.999947 0.000435 0.005894 0.008380
1564 2566 -3.565976 10.089783 -0.088176 0.729392 0.018080 -0.008943 -0.683798
1 2375 8.637809 8.035503 0.015354 0.785165 0.004425 -0.014493 -0.619100
2360 2428 8.626402 6.793971 -0.103542 0.861144 0.000459 0.013406 0.508185
712 1470 11.736298 -0.024902 0.209486 0.999938 0.003980 -0.002639 0.010106
681 1423 -10.405045 -0.199387 -0.226737 0.999956 0.001822 -0.001524 0.009112
583 1329 -10.585602 -0.002838 -0.162536 0.999963 0.001054 -0.004239 0.007367
919 2637 -10.930346 2.430923 0.068177 0.705462 0.006560 0.007515 0.708677
1535 2585 7.146854 -9.268860 0.154850 0.753239 0.011101 -0.011766 -0.657547
817 1528 -8.917480 -6.045380 -0.074461 0.828929 -0.002276 0.008134 0.559289
825 1568 -10.852417 4.382627 -0.040518 0.731088 -0.006070 0.008774 0.682200
139 2526 2.715683 9.667175 0.079243 0.879215 0.007503 0.006415 0.476323
824 1549 -10.855682 -3.713542 0.013046 0.745960 -0.003140 0.002885 0.665978
2300 2416 11.557365 2.489787 0.266204 0.943794 -0.018851 -0.000593 0.329995
24 2358 -6.223465 7.869046 -0.315752 0.775468 0.005506 -0.020898 -0.631017
515 1293 11.088852 1.936798 0.098212 0.229636 -0.015490 0.016918 0.973007
708 1466 11.151489 -0.043732 0.151984 0.999930 0.001375 0.001238 0.011711
745 1503 11.946567 -0.016464 0.248288 0.999463 -0.003733 -0.001497 -0.032507
866 2628 10.729492 -0.782544 0.223817 0.999722 0.007853 -0.009791 -0.019972
2 2341 8.081138 8.014577 -0.018249 0.784280 0.003561 -0.014310 -0.620232
2 2387 8.087390 8.046615 -0.015797 0.783916 0.003755 -0.014201 -0.620693
884 2637 10.255142 0.421564 0.183579 0.997894 0.005078 0.007406 0.064244
543 1280 -3.986282 -10.971146 0.017746 0.673555 -0.015683 0.006127 0.738945
643 1388 -10.376030 -0.047913 -0.168326 0.999945 -0.002251 -0.001046 -0.010192
824 1552 -10.788513 -2.912138 0.016291 0.740799 -0.002653 0.001434 0.671720
773 1549 10.196596 -1.136063 0.245119 0.999798 0.013272 -0.011906 0.009318
841 2587 -11.527267 -0.643659 -0.202690 0.999955 0.002377 -0.003687 0.008394
26 2339 -7.927943 7.863371 -0.262438 0.775534 0.002154 -0.017582 -0.631057
25 2382 -7.052757 7.907235 -0.271509 0.774582 0.005016 -0.018627 -0.632179
1521 2575 10.047625 1.601730 0.310269 0.762573 0.008688 -0.018857 -0.646568
775 1557 11.634332 -0.911942 0.328760 0.999375 0.007222 -0.019400 0.028648
