idx1 idx2 t_1 t_2 t_3 q_1 q_2 q_3 q_4
3379 4596 -1.935257 2.380005 -0.004002 -0.012457 -0.016207 0.016708 0.999650
3377 4600 -5.255234 2.304077 -0.042715 -0.012814 -0.009155 0.019760 0.999680
1932 4514 -1.612885 1.576050 0.516609 0.999957 -0.005121 0.006424 -0.004235
957 4222 -2.079651 -0.002258 -0.031494 0.999944 0.002490 -0.007723 -0.006670
1980 4563 5.754761 0.733826 -0.124275 0.999968 -0.006167 -0.003763 0.003331
3345 4615 3.812225 2.586731 -0.072768 0.033666 -0.001593 0.021884 0.999191
932 4207 3.719421 0.318359 0.015175 0.999812 -0.003445 -0.014256 0.012580
1802 4401 2.675110 -0.969971 0.086426 0.990059 0.014886 0.008534 0.139598
966 4234 4.107025 -0.022949 0.091866 0.999842 -0.006178 -0.016578 0.001176
930 4195 -3.766266 -1.662964 -0.143288 0.958132 -0.022416 -0.027510 0.284115
3411 4581 -4.346863 2.076782 -0.154217 0.405179 -0.020235 0.016306 0.913867
3375 4594 4.465164 2.367676 0.000731 -0.000831 -0.018860 0.016332 0.999687
3368 4605 -3.021606 2.440491 -0.024760 0.000435 -0.018225 0.021045 0.999611
1864 4453 5.540283 0.082520 -0.093414 0.999980 -0.000863 0.005910 0.001954
3344 4621 -3.297104 3.422607 -0.072243 0.074743 -0.004947 0.020108 0.996987
1805 4405 5.922119 -0.048401 0.097633 0.995836 -0.002305 0.005315 0.090978
938 4202 -4.996796 0.131836 -0.064293 0.996026 -0.018868 -0.023799 0.083722
1815 4404 -3.464905 -0.601868 0.074120 0.999960 0.000777 0.003940 0.007949
3370 4605 -4.958237 2.420715 0.010876 -0.001802 -0.015144 0.018288 0.999715
1973 4555 1.862259 0.855652 -0.189056 0.999963 -0.008437 -0.000927 -0.001408
1885 4472 3.946472 0.641174 0.067024 0.999908 -0.003957 0.000028 0.012981
940 4213 3.229050 0.119934 -0.023117 0.999737 0.001118 -0.022681 -0.002762
1816 4404 -4.354553 -0.582642 0.053375 0.999982 0.000542 0.001766 0.005639
1808 4405 3.698059 -0.311340 0.090149 0.998115 -0.008609 0.006309 0.060440
3342 4616 4.667419 2.464722 -0.070176 0.062271 -0.001728 0.020201 0.997852
1992 4563 -2.649620 0.775330 -0.219704 0.998055 -0.007230 0.000359 -0.061914
1992 4569 4.895294 -0.124268 -0.015411 0.997863 -0.021952 -0.009480 -0.060813
1836 4426 4.782623 -0.297974 -0.015823 0.999963 0.002637 0.007628 0.002916
1021 4260 -5.029678 0.453857 -0.101715 0.999662 -0.009847 -0.001252 -0.024012
936 4212 5.359207 0.149292 -0.009132 0.999791 0.000860 -0.020180 -0.002877
941 4207 -3.237900 0.283386 -0.136284 0.999759 -0.005390 -0.020829 0.004221
1804 4396 -5.394653 -2.588013 0.098373 0.993025 0.005533 0.000757 0.117769
3407 4581 -2.186401 1.471619 -0.109838 0.294158 -0.021317 0.012699 0.955434
3366 4605 -1.069107 2.449585 -0.009943 0.002368 -0.013896 0.023118 0.999632
1956 4542 4.615005 1.573853 0.014816 0.999890 -0.005876 0.005413 0.012504
3364 4606 -0.443436 2.460449 -0.036227 0.003494 -0.016142 0.022493 0.999609
1966 4546 -2.171082 1.181702 -0.267925 0.999961 -0.008465 0.000082 -0.002515
1985 4564 3.157867 0.720764 -0.159325 0.999922 -0.011936 -0.003443 0.001600
1819 4413 5.260956 -0.464539 0.037331 0.999882 -0.006040 0.013967 0.002144
3351 4613 1.860687 2.610352 -0.058396 0.013341 -0.005847 0.023248 0.999622
3396 4581 4.092484 1.898315 -0.073136 0.039686 -0.020249 0.013690 0.998912
1812 4403 -2.263428 -0.698181 0.089081 0.999606 -0.002621 0.005831 0.027332
3376 4595 2.199051 2.388794 0.001522 -0.004916 -0.018151 0.016866 0.999680
3350 4616 -1.288269 2.750122 -0.070659 0.025142 -0.004890 0.022831 0.999410
915 4190 5.174652 -2.907349 0.347534 0.784621 -0.026206 -0.015741 0.619218
1805 4404 4.570801 -0.307678 0.091148 0.995785 0.000093 0.003780 0.091640
938 4214 5.825714 0.080017 0.004005 0.999887 0.000077 -0.013649 -0.006238
1843 4432 4.502930 -0.152954 -0.010880 0.999977 0.000294 0.006152 0.002796
1001 4253 -2.714691 0.128662 -0.074936 0.999949 -0.002084 -0.008381 0.005081
3396 4582 2.799515 2.019897 -0.100653 0.039709 -0.023131 0.017119 0.998796
3387 4587 2.724609 2.524475 -0.045490 0.008915 -0.011162 0.014858 0.999787
1877 4465 4.830841 0.418762 -0.003464 0.999970 -0.001264 -0.002950 0.006995
1794 4398 4.376465 -1.180496 -0.002831 0.934685 0.013002 0.021323 0.354597
1028 4264 -2.971044 0.540039 -0.079445 0.988060 -0.011417 -0.001197 -0.153634
1034 4271 2.131409 -3.921936 0.109604 0.947662 -0.003866 -0.002028 -0.319242
1002 4259 4.486526 0.128662 0.074150 0.999987 0.001960 -0.004441 0.001378
983 4241 -3.469574 0.024170 -0.083782 0.999959 0.001462 -0.008803 -0.000196
1977 4553 -4.476944 0.798523 -0.254776 0.999989 -0.004580 0.000971 0.000829
1963 4549 5.280701 1.433105 -0.112881 0.999951 -0.007340 0.005065 0.004370
1021 4262 -2.365601 0.340698 -0.070511 0.999639 -0.009950 -0.004778 -0.024448
3337 4624 -1.962267 4.694519 -0.025629 0.181938 0.007395 0.015531 0.983158
919 4197 5.079498 -0.119690 0.332809 0.931662 -0.025734 -0.020207 0.361847
1008 4262 4.560074 0.214294 0.078590 0.999960 -0.001239 -0.008469 0.002354
3354 4612 0.723297 2.577026 -0.036270 0.011345 -0.008396 0.022153 0.999654
