idx1 idx2 t_1 t_2 t_3 q_1 q_2 q_3 q_4
784 1431 -2.258820 0.889038 -0.029696 0.077596 -0.009669 -0.000713 0.996938
234 1642 2.217697 0.608867 0.076200 0.021188 -0.018762 0.002518 0.999596
72 1820 4.026498 4.128139 -0.079763 -0.190739 -0.012771 0.028997 0.981129
175 1724 -4.927017 -0.181065 -0.062231 0.011814 -0.013783 -0.001183 0.999834
163 1729 2.902687 0.039141 0.050443 0.000991 -0.012352 -0.008033 0.999891
79 1824 -0.279492 2.805313 -0.049242 -0.064396 -0.011259 0.030214 0.997403
214 1682 -5.852432 -1.244576 -0.078539 -0.048025 -0.010574 -0.025409 0.998467
204 1690 -1.950073 -1.675813 -0.053698 -0.009246 -0.015579 -0.025237 0.999517
238 1646 -3.781082 0.575026 -0.030194 0.008926 -0.014277 -0.003715 0.999851
138 1750 5.635490 0.220028 0.110895 -0.002642 -0.014925 -0.008203 0.999851
249 1619 1.124588 -3.538054 -0.109151 0.340530 0.002244 -0.024527 0.939911
2527 3871 -0.905807 4.575592 0.045304 0.828552 -0.020844 -0.008291 0.559463
790 1417 3.785889 -1.305054 0.080720 0.143475 -0.013896 -0.001481 0.989555
743 1462 2.495331 1.684464 0.025388 -0.004844 -0.014825 0.018258 0.999712
801 1421 -4.597153 -0.212693 -0.027649 0.385959 -0.014854 -0.006043 0.922377
708 1500 4.294144 -0.451309 0.114980 0.532215 0.014479 -0.007183 -0.846454
207 1683 1.586700 -1.269669 0.011690 -0.045017 -0.013621 -0.018304 0.998726
708 1497 4.846481 0.692795 0.102752 0.524275 0.013527 -0.005485 -0.851424
798 1413 0.749481 -3.298542 0.047499 0.321126 -0.014946 -0.005346 0.946903
710 1510 1.148842 -5.174225 0.057167 0.514082 0.008526 -0.004896 -0.857685
716 1489 3.953884 1.282013 0.014071 -0.341564 -0.002792 -0.006258 0.939833
186 1705 4.268219 -0.897474 0.062262 0.007312 -0.011011 -0.015445 0.999793
80 1816 1.765662 2.958092 -0.042209 0.007345 -0.010943 0.032245 0.999393
2497 3865 4.313782 0.809525 0.106105 0.407510 -0.018177 0.001803 0.913018
786 1433 -4.818573 1.400223 -0.077309 0.123485 -0.009670 -0.002852 0.992295
738 1466 3.375725 1.676270 0.005661 -0.009260 -0.015269 0.018028 0.999678
236 1650 -4.305908 0.546811 -0.056370 -0.010616 -0.015844 -0.001857 0.999816
787 1430 -2.982361 0.913437 -0.061420 0.119067 -0.011720 -0.004739 0.992806
719 1506 -3.429026 -3.346039 0.049211 -0.311244 -0.005319 0.009887 0.950264
115 1773 3.978683 0.939508 0.059520 0.038253 -0.012594 -0.002319 0.999186
241 1642 -4.205383 0.550708 -0.066478 0.033467 -0.015386 0.002277 0.999319
2499 3869 1.151642 3.928013 -0.023412 0.436058 -0.028024 0.005429 0.899466
747 1459 1.538902 1.759918 -0.001601 -0.008409 -0.008106 0.018187 0.999766
66 1830 3.504394 3.570118 0.008039 -0.489811 -0.014357 0.011899 0.871629
750 1456 1.527092 1.859909 0.008938 -0.005524 -0.022326 0.027728 0.999351
248 1620 1.695602 -3.247189 -0.086091 0.311363 0.000720 -0.023350 0.950004
83 1812 1.523553 2.753477 -0.018790 0.042850 -0.017650 0.032725 0.998389
84 1805 4.670104 2.416048 0.032644 0.032939 -0.018858 0.036301 0.998620
201 1690 1.743698 -1.640848 0.002201 -0.009226 -0.016168 -0.028400 0.999423
719 1504 -2.626402 -2.767014 0.039257 -0.306198 -0.003473 0.009006 0.951919
2502 3866 2.686554 1.045895 0.037029 0.476149 -0.017616 0.005608 0.879170
73 1819 4.018189 3.997936 -0.093921 -0.158350 -0.012169 0.030088 0.986849
756 1450 1.697380 1.784775 0.043099 0.003974 -0.018511 0.009000 0.999780
78 1817 2.525805 3.134819 -0.066858 -0.029654 -0.014232 0.035617 0.998824
213 1682 -4.683960 -1.245159 -0.085387 -0.048008 -0.012257 -0.024837 0.998463
773 1441 -4.349869 1.458374 -0.110146 0.037853 -0.017669 0.008081 0.999094
245 1624 2.749847 -2.296560 -0.001582 0.255222 -0.006835 -0.018992 0.966672
230 1658 -3.785812 0.360015 -0.086282 -0.027341 -0.018796 -0.003027 0.999445
724 1496 -2.847240 -0.639130 -0.003043 -0.180299 -0.015180 0.016992 0.983348
706 1500 5.083710 0.015411 0.118333 0.568150 0.013108 -0.007245 -0.822789
74 1825 1.881228 3.061171 -0.041755 -0.197061 -0.013971 0.028987 0.979863
237 1634 4.299515 -0.031704 0.087781 0.124187 -0.015419 0.004404 0.992129
732 1483 -3.185234 1.091965 -0.049562 -0.042820 -0.018117 0.009956 0.998869
2532 3869 -3.417542 2.379318 0.237275 0.806076 0.008991 0.007966 0.591691
148 1748 -3.673576 0.140879 -0.043338 -0.003971 -0.014887 -0.004062 0.999873
796 1409 3.743103 -4.195953 0.038177 0.285927 -0.006336 -0.010550 0.958172
2508 3863 2.664948 -2.870697 0.058372 0.595560 -0.011601 0.004389 0.803215
81 1827 -2.384600 2.614317 -0.030219 -0.093909 -0.013397 0.021646 0.995255
2518 3862 -1.152206 -4.736542 -0.031094 0.768935 -0.013704 -0.011640 0.639074
91 1808 -3.112270 2.676950 -0.014651 0.009600 -0.001853 0.042206 0.999061
718 1487 3.793600 1.361038 0.017732 -0.293320 -0.003050 -0.003625 0.956003
799 1410 1.125015 -4.309927 0.050487 0.354069 -0.013581 -0.007993 0.935087
2497 3871 0.035706 5.593246 -0.073659 0.420820 -0.030858 0.001599 0.906618
81 1828 -2.640054 2.539032 -0.027763 -0.111429 -0.013215 0.019316 0.993497
73 1823 2.829025 3.494112 -0.079350 -0.198502 -0.012080 0.030342 0.979556
2494 3865 5.006836 1.057121 0.120297 0.387511 -0.019002 0.002587 0.921666
125 1770 -3.722637 0.580734 -0.032236 0.023631 -0.013813 -0.007090 0.999600
